Description,ID,Feature,group,KO Description
Purine metabolism,ko00230,K00942,Plaque,"gmk, GUK1; guanylate kinase [EC:2.7.4.8]"
Lipoic acid metabolism,ko00785,K00627,Plaque,"DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]"
Lipoic acid metabolism,ko00785,K03801,Plaque,lipB; lipoyl(octanoyl) transferase [EC:2.3.1.181]
Lipoic acid metabolism,ko00785,K00163,Plaque,aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
Protein export,ko03060,K03118,Plaque,tatC; sec-independent protein translocase protein TatC
Protein export,ko03060,K03116,Plaque,tatA; sec-independent protein translocase protein TatA
Protein export,ko03060,K03117,Plaque,tatB; sec-independent protein translocase protein TatB
One carbon pool by folate,ko00670,K00297,Plaque,"metF, MTHFR; methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]"
One carbon pool by folate,ko00670,K00560,Plaque,"thyA, TYMS; thymidylate synthase [EC:2.1.1.45]"
One carbon pool by folate,ko00670,K00287,Plaque,"DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]"
Nitrogen metabolism,ko00910,K01673,Plaque,"cynT, can; carbonic anhydrase [EC:4.2.1.1]"
Nitrogen metabolism,ko00910,K04561,Plaque,norB; nitric oxide reductase subunit B [EC:1.7.2.5]
Nitrogen metabolism,ko00910,K00368,Plaque,nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]
Bacterial secretion system,ko03070,K03118,Plaque,tatC; sec-independent protein translocase protein TatC
Bacterial secretion system,ko03070,K03116,Plaque,tatA; sec-independent protein translocase protein TatA
Bacterial secretion system,ko03070,K03117,Plaque,tatB; sec-independent protein translocase protein TatB
Folate biosynthesis,ko00790,K00287,Plaque,"DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]"
Folate biosynthesis,ko00790,K03635,Plaque,"MOCS2B, moaE; molybdopterin synthase catalytic subunit [EC:2.8.1.12]"
Folate biosynthesis,ko00790,K03752,Plaque,mobA; molybdenum cofactor guanylyltransferase [EC:2.7.7.77]
