"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","group"
"ko00520...245","Metabolism","Carbohydrate metabolism","ko00520","Amino sugar and nucleotide sugar metabolism","2/201","118/14535",0.0169491525423729,1.22565140399696,0.291439558973779,0.487489181331687,0.71137062864278,0.57262032026973,"K00972/K20844",2,"Abscess"
"ko05415...246","Human Diseases","Cardiovascular disease","ko05415","Diabetic cardiomyopathy","2/201","160/14535",0.0125,0.903917910447761,-0.144712288166266,0.65214738610555,0.753451834432625,0.606493736694992,"K00693/K01283",2,"Abscess"
"ko00531...247","Metabolism","Glycan biosynthesis and metabolism","ko00531","Glycosaminoglycan degradation","1/201","15/14535",0.0666666666666667,4.82089552238806,1.75321182226839,0.18858797881552,0.467541030813478,0.376348817373078,"K01205",1,"Abscess"
"ko00603","Metabolism","Glycan biosynthesis and metabolism","ko00603","Glycosphingolipid biosynthesis","1/201","16/14535",0.0625,4.51958955223881,1.66797894849825,0.199820335307123,0.485277957174442,0.390626219397384,"K07406",1,"Abscess"
"ko00364","Metabolism","Xenobiotics biodegradation and metabolism","ko00364","Fluorobenzoate degradation","1/201","18/14535",0.0555555555555556,4.01741293532338,1.5168389373089,0.221822990212063,0.49805539311765,0.400911461952288,"K01061",1,"Abscess"
"ko00521...250","Metabolism","Biosynthesis of other secondary metabolites","ko00521","Streptomycin biosynthesis","1/201","21/14535",0.0476190476190476,3.44349680170576,1.32688953683993,0.253703208610163,0.539119318296596,0.43396601472791,"K01858",1,"Abscess"
"ko00930","Metabolism","Xenobiotics biodegradation and metabolism","ko00930","Caprolactam degradation","1/201","22/14535",0.0454545454545455,3.28697421981004,1.27116204892774,0.264038447349956,0.541734055769737,0.436070756966352,"K06446",1,"Abscess"
"ko04614...252","Organismal Systems","Endocrine system","ko04614","Renin-angiotensin system","1/201","22/14535",0.0454545454545455,3.28697421981004,1.27116204892774,0.264038447349956,0.541734055769737,0.436070756966352,"K01283",1,"Abscess"
"ko00430...253","Metabolism","Metabolism of other amino acids","ko00430","Taurine and hypotaurine metabolism","1/201","29/14535",0.0344827586206897,2.49356664951107,0.953359451473741,0.332504680386103,0.628064396284861,0.505562671932086,"K15515",1,"Abscess"
"ko00626...254","Metabolism","Xenobiotics biodegradation and metabolism","ko00626","Naphthalene degradation","1/201","29/14535",0.0344827586206897,2.49356664951107,0.953359451473741,0.332504680386103,0.628064396284861,0.505562671932086,"K13954",1,"Abscess"
"ko00401...255","Metabolism","Biosynthesis of other secondary metabolites","ko00401","Novobiocin biosynthesis","1/201","30/14535",0.0333333333333333,2.41044776119403,0.915726269860655,0.341753719352213,0.63263867108737,0.509244750720484,"K11358",1,"Abscess"
"ko00565","Metabolism","Lipid metabolism","ko00565","Ether lipid metabolism","1/201","31/14535",0.032258064516129,2.33269138180067,0.879576154832617,0.350875229342575,0.63263867108737,0.509244750720484,"K00803",1,"Abscess"
"ko01053","Metabolism","Metabolism of terpenoids and polyketides","ko01053","Biosynthesis of siderophore group nonribosomal peptides","1/201","31/14535",0.032258064516129,2.33269138180067,0.879576154832617,0.350875229342575,0.63263867108737,0.509244750720484,"K12240",1,"Abscess"
"ko03022","Genetic Information Processing","Transcription","ko03022","Basal transcription factors","1/201","36/14535",0.0277777777777778,2.00870646766169,0.717552922310124,0.394630256348616,0.690602948610078,0.55590330228675,"K10844",1,"Abscess"
"ko00460...259","Metabolism","Metabolism of other amino acids","ko00460","Cyanoamino acid metabolism","1/201","37/14535",0.027027027027027,1.95441710367084,0.688322449830579,0.403022512261019,0.695067811000888,0.559497309164802,"K10816",1,"Abscess"
"ko00960...260","Metabolism","Biosynthesis of other secondary metabolites","ko00960","Tropane, piperidine and pyridine alkaloid biosynthesis","1/201","39/14535",0.0256410256410256,1.85419058553387,0.632513647362791,0.419461299607621,0.703040769764886,0.565915170708577,"K11358",1,"Abscess"
"ko01310...261",NA,NA,"ko01310","Nitrogen cycle","1/201","39/14535",0.0256410256410256,1.85419058553387,0.632513647362791,0.419461299607621,0.703040769764886,0.565915170708577,"K00372",1,"Abscess"
"ko00361...262","Metabolism","Xenobiotics biodegradation and metabolism","ko00361","Chlorocyclohexane and chlorobenzene degradation","1/201","41/14535",0.024390243902439,1.76374226428831,0.579897893122251,0.435449607338591,0.71137062864278,0.57262032026973,"K01061",1,"Abscess"
"ko00625...263","Metabolism","Xenobiotics biodegradation and metabolism","ko00625","Chloroalkane and chloroalkene degradation","1/201","43/14535",0.0232558139534884,1.68170774036793,0.530121229869084,0.4509997201157,0.71137062864278,0.57262032026973,"K13954",1,"Abscess"
"ko00984...264","Metabolism","Xenobiotics biodegradation and metabolism","ko00984","Steroid degradation","1/201","43/14535",0.0232558139534884,1.68170774036793,0.530121229869084,0.4509997201157,0.71137062864278,0.57262032026973,"K18364",1,"Abscess"
"ko00770...265","Metabolism","Metabolism of cofactors and vitamins","ko00770","Pantothenate and CoA biosynthesis","1/201","45/14535",0.0222222222222222,1.60696517412935,0.482883920347466,0.466123589233419,0.71137062864278,0.57262032026973,"K17722",1,"Abscess"
"ko00140","Metabolism","Lipid metabolism","ko00140","Steroid hormone biosynthesis","1/201","46/14535",0.0217391304347826,1.5720311486048,0.460136086144124,0.473529328264757,0.71137062864278,0.57262032026973,"K12343",1,"Abscess"
"ko00410...267","Metabolism","Metabolism of other amino acids","ko00410","beta-Alanine metabolism","1/201","46/14535",0.0217391304347826,1.5720311486048,0.460136086144124,0.473529328264757,0.71137062864278,0.57262032026973,"K17722",1,"Abscess"
"ko00440...268","Metabolism","Metabolism of other amino acids","ko00440","Phosphonate and phosphinate metabolism","1/201","47/14535",0.0212765957446809,1.53858367735789,0.437930107903586,0.480832841621012,0.71137062864278,0.57262032026973,"K19670",1,"Abscess"
"ko00300...269","Metabolism","Amino acid metabolism","ko00300","Lysine biosynthesis","1/201","48/14535",0.0208333333333333,1.50652985074627,0.41623954622676,0.488035533423482,0.71137062864278,0.57262032026973,"K05825",1,"Abscess"
"ko03060...270","Genetic Information Processing","Folding, sorting and degradation","ko03060","Protein export","1/201","49/14535",0.0204081632653061,1.47578434358818,0.395039800229065,0.495138788602738,0.71137062864278,0.57262032026973,"K03425",1,"Abscess"
