Description,ID,Feature,group,KO Description
Glycolysis / Gluconeogenesis,ko00010,K13953,Plaque,"adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]"
Glycolysis / Gluconeogenesis,ko00010,K00131,Plaque,gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
Glycolysis / Gluconeogenesis,ko00010,K04072,Plaque,adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]
Glycolysis / Gluconeogenesis,ko00010,K00163,Plaque,aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
Glycolysis / Gluconeogenesis,ko00010,K00886,Plaque,ppgK; polyphosphate glucokinase [EC:2.7.1.63]
Glycolysis / Gluconeogenesis,ko00010,K03841,Plaque,"FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
Glycolysis / Gluconeogenesis,ko00010,K15778,Plaque,pmm-pgm; phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]
Glycolysis / Gluconeogenesis,ko00010,K00121,Plaque,"frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"
Glycolysis / Gluconeogenesis,ko00010,K00161,Plaque,"PDHA, pdhA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]"
Glycolysis / Gluconeogenesis,ko00010,K00162,Plaque,"PDHB, pdhB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]"
Glycolysis / Gluconeogenesis,ko00010,K01792,Plaque,E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]
Sulfur metabolism,ko00920,K02046,Plaque,cysU; sulfate/thiosulfate transport system permease protein
Sulfur metabolism,ko00920,K02047,Plaque,cysW; sulfate/thiosulfate transport system permease protein
Sulfur metabolism,ko00920,K20035,Plaque,dmdC; 3-(methylsulfanyl)propanoyl-CoA dehydrogenase [EC:1.3.99.41]
Sulfur metabolism,ko00920,K02048,Plaque,cysP; sulfate/thiosulfate transport system substrate-binding protein
Sulfur metabolism,ko00920,K00956,Plaque,cysN; sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]
Sulfur metabolism,ko00920,K00957,Plaque,cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]
Sulfur metabolism,ko00920,K00185,Plaque,dmsC; dimethyl sulfoxide reductase membrane subunit
Sulfur metabolism,ko00920,K17226,Plaque,soxY; sulfur-oxidizing protein SoxY
Sulfur metabolism,ko00920,K17227,Plaque,soxZ; sulfur-oxidizing protein SoxZ
Sulfur metabolism,ko00920,K02045,Plaque,cysA; sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3]
Sulfur metabolism,ko00920,K01082,Plaque,"cysQ, MET22, BPNT1; 3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]"
Porphyrin metabolism,ko00860,K22316,Plaque,rhnA-cobC; ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73]
Porphyrin metabolism,ko00860,K02496,Plaque,hemX; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
Porphyrin metabolism,ko00860,K07215,Plaque,"pigA, hemO; heme oxygenase (biliverdin-IX-beta and delta-forming) [EC:1.14.99.58]"
Porphyrin metabolism,ko00860,K01195,Plaque,"uidA, GUSB; beta-glucuronidase [EC:3.2.1.31]"
Porphyrin metabolism,ko00860,K08973,Plaque,hemJ; protoporphyrinogen IX oxidase [EC:1.3.99.-]
Porphyrin metabolism,ko00860,K08100,Plaque,E1.3.3.5; bilirubin oxidase [EC:1.3.3.5]
Porphyrin metabolism,ko00860,K02302,Plaque,cysG; uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4]
Porphyrin metabolism,ko00860,K00230,Plaque,hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]
Porphyrin metabolism,ko00860,K00228,Plaque,"CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]"
Porphyrin metabolism,ko00860,K01599,Plaque,"hemE, UROD; uroporphyrinogen decarboxylase [EC:4.1.1.37]"
Porphyrin metabolism,ko00860,K21480,Plaque,"HO, pbsA1, hmuO; heme oxygenase (biliverdin-producing, ferredoxin) [EC:1.14.15.20]"
Arginine and proline metabolism,ko00330,K00613,Plaque,GATM; glycine amidinotransferase [EC:2.1.4.1]
Arginine and proline metabolism,ko00330,K00797,Plaque,"speE, SRM, SPE3; spermidine synthase [EC:2.5.1.16]"
Arginine and proline metabolism,ko00330,K09471,Plaque,"puuB, ordL; gamma-glutamylputrescine oxidase [EC:1.4.3.-]"
Arginine and proline metabolism,ko00330,K00147,Plaque,proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
Arginine and proline metabolism,ko00330,K01426,Plaque,"E3.5.1.4, amiE; amidase [EC:3.5.1.4]"
Arginine and proline metabolism,ko00330,K01259,Plaque,pip; proline iminopeptidase [EC:3.4.11.5]
Arginine and proline metabolism,ko00330,K03343,Plaque,puo; putrescine oxidase [EC:1.4.3.10]
Arginine and proline metabolism,ko00330,K00316,Plaque,spdH; spermidine dehydrogenase [EC:1.5.99.6]
Arginine and proline metabolism,ko00330,K00931,Plaque,proB; glutamate 5-kinase [EC:2.7.2.11]
Arginine and proline metabolism,ko00330,K00813,Plaque,aspC; aspartate aminotransferase [EC:2.6.1.1]
Fructose and mannose metabolism,ko00051,K01820,Plaque,rhaA; L-rhamnose isomerase / sugar isomerase [EC:5.3.1.14 5.3.1.-]
Fructose and mannose metabolism,ko00051,K02793,Plaque,manXa; mannose PTS system EIIA component [EC:2.7.1.191]
Fructose and mannose metabolism,ko00051,K02796,Plaque,manZ; mannose PTS system EIID component
Fructose and mannose metabolism,ko00051,K02795,Plaque,manY; mannose PTS system EIIC component
Fructose and mannose metabolism,ko00051,K02794,Plaque,manX; mannose PTS system EIIAB component [EC:2.7.1.191]
Fructose and mannose metabolism,ko00051,K02771,Plaque,levG; fructose PTS system EIID component
Fructose and mannose metabolism,ko00051,K03841,Plaque,"FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
Fructose and mannose metabolism,ko00051,K00066,Plaque,algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
Fructose and mannose metabolism,ko00051,K15778,Plaque,pmm-pgm; phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]
Fructose and mannose metabolism,ko00051,K00007,Plaque,dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
Peptidoglycan biosynthesis,ko00550,K07260,Plaque,vanY; zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]
Peptidoglycan biosynthesis,ko00550,K12551,Plaque,sgtA; monofunctional glycosyltransferase [EC:2.4.99.28]
Peptidoglycan biosynthesis,ko00550,K12552,Plaque,pbpA; penicillin-binding protein 1 [EC:3.4.-.-]
