"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","group"
"ko00543","Metabolism","Glycan biosynthesis and metabolism","ko00543","Exopolysaccharide biosynthesis","2/72","73/14535",0.0273972602739726,5.53082191780822,2.73812882523681,0.0507565300759911,0.122412807830332,0.0769990703939184,"K00640/K16568",2,"Plaque"
"ko00500...35","Metabolism","Carbohydrate metabolism","ko00500","Starch and sucrose metabolism","2/72","107/14535",0.0186915887850467,3.77336448598131,2.03154012731751,0.0985279499278482,0.215955863294617,0.135838733009451,"K00963/K06896",2,"Plaque"
"ko00010...36","Metabolism","Carbohydrate metabolism","ko00010","Glycolysis / Gluconeogenesis","2/72","108/14535",0.0185185185185185,3.73842592592593,2.01536862251952,0.100077107380432,0.215955863294617,0.135838733009451,"K00627/K00163",2,"Plaque"
"ko00520...37","Metabolism","Carbohydrate metabolism","ko00520","Amino sugar and nucleotide sugar metabolism","2/72","118/14535",0.0169491525423729,3.42161016949153,1.86353442225337,0.115930838543991,0.24375201950275,0.153322836400959,"K00963/K02796",2,"Plaque"
"ko00051...38","Metabolism","Carbohydrate metabolism","ko00051","Fructose and mannose metabolism","2/72","120/14535",0.0166666666666667,3.36458333333333,1.83513305043632,0.119175401906894,0.244309573909132,0.153673544564153,"K02770/K02796",2,"Plaque"
"ko00680","Metabolism","Energy metabolism","ko00680","Methane metabolism","2/72","197/14535",0.0101522842639594,2.0494923857868,1.04640004621641,0.255256102893673,0.410411773280023,0.258153746992569,"K13788/K01595",2,"Plaque"
"ko00190","Metabolism","Energy metabolism","ko00190","Oxidative phosphorylation","2/72","224/14535",0.00892857142857143,1.80245535714286,0.853963939561973,0.304874958530733,0.435676475856342,0.27404553680309,"K01507/K03885",2,"Plaque"
"ko00405","Metabolism","Biosynthesis of other secondary metabolites","ko00405","Phenazine biosynthesis","1/72","16/14535",0.0625,12.6171875,3.28036576362115,0.0764174063518359,0.179035066310016,0.112615125150074,"K01657",1,"Plaque"
"ko00521...42","Metabolism","Biosynthesis of other secondary metabolites","ko00521","Streptomycin biosynthesis","1/72","21/14535",0.0476190476190476,9.61309523809524,2.78679466483402,0.0990948158450934,0.215955863294617,0.135838733009451,"K01092",1,"Plaque"
"ko00430","Metabolism","Metabolism of other amino acids","ko00430","Taurine and hypotaurine metabolism","1/72","29/14535",0.0344827586206897,6.96120689655172,2.26719560307634,0.134241661895365,0.268483323790729,0.168879112525619,"K13788",1,"Plaque"
