Rank,Taxon,n_pairs,n_plaque,n_abscess,median_plaque,median_abscess,mean_plaque,mean_abscess,p_value,difference_in_median,difference_in_mean,Enrichment,BH_adjusted_p_value
genus,Enterococcus,25,25,25,3.522490752952038e-11,5.3025072869699766e-11,8.745921664546697e-11,4.1559626187150375e-6,0.043589346935158674,-1.7800165340179388e-11,-4.155875159498392e-6,Abscess,0.08120755045454219
genus,Erysipelothrix,25,25,25,3.7090608454855704e-11,4.8966793692457115e-11,1.129108542424024e-5,1.187697557656369e-10,0.4352140532775755,-1.1876185237601411e-11,1.1290966654484474e-5,Abscess,0.46975485115674814
genus,Erysipelotrichaceae G-1,25,25,25,7.044981505904076e-11,1.0649058608418955e-10,1.7491843329093394e-10,4.797663346289273e-4,0.0071304167510327955,-3.6040771025148796e-11,-4.79766159710494e-4,Abscess,0.0334391957979469
genus,Fannyhessea,25,25,25,3.170241677656834e-10,4.79207637378853e-10,7.871329498092028e-10,0.006527389447280622,0.009792728891719199,-1.621834696131696e-10,-0.006527388660147672,Abscess,0.03787795817458063
genus,Fastidiosipila,25,25,25,3.522490752952038e-11,5.3025072869699766e-11,8.745921664546697e-11,2.4935181863511403e-5,0.043589346935158674,-1.7800165340179388e-11,-2.4935094404294756e-5,Abscess,0.08120755045454219
genus,Filifactor,25,25,25,1.0567472258856114e-10,1.757880874390191e-10,2.6237764993640093e-10,0.003549543068696889,0.013307365386794041,-7.011336485045795e-11,-0.003549542806319239,Abscess,0.040217815391199764
genus,Fretibacterium,25,25,25,9.158475957675304e-10,2.954208794589453e-9,2.3370169863579404e-5,0.006996136781048742,0.0018011458336810678,-2.0383611988219227e-9,-0.006972766611185162,Abscess,0.014409166669448543
genus,Fusobacterium,25,25,25,0.06336961340096954,0.10859739808461075,0.0870158991246085,0.1424053334079297,0.012337440392892186,-0.045227784683641206,-0.055389434283321215,Abscess,0.040217815391199764
genus,Gemella,25,25,25,0.007083013270044378,2.5716978564425236e-4,0.016203450975497538,0.011567670473170278,0.014344089427169355,0.006825843484400126,0.0046357805023272605,Plaque,0.04240861221945722
genus,Gracilibacteria (GN02) G-1,25,25,25,6.609384085228996e-10,5.302507286969977e-10,7.500256307352823e-4,1.055961875820278e-4,0.23645102010844776,1.3068767982590184e-10,6.444294431532545e-4,Plaque,0.27484904901494783
genus,Gracilibacteria (GN02) G-2,25,25,25,7.302467476233312e-11,1.0605014573939953e-10,3.600175914333033e-5,6.473951066747694e-6,0.19651934789959508,-3.302547097706641e-11,2.9527808076582635e-5,Abscess,0.23863063673522258
genus,Granulicatella,25,25,25,0.007756821572377622,0.002677952547320334,0.014158964355890816,0.010571597397249267,0.11239768319071032,0.0050788690250572885,0.0035873669586415496,Plaque,0.15134737538551093
genus,Haemophilus,25,25,25,0.03614598081461062,0.002154542888778405,0.05092423339643006,0.019243474369962738,0.0021593840822676834,0.033991437925832216,0.031680759026467324,Plaque,0.01631534639935583
genus,Janibacter,25,25,25,3.651233738116656e-11,4.8966793692457115e-11,1.8899956464761677e-5,1.187697557656369e-10,0.16998484708770295,-1.2454456311290553e-11,1.889983769500591e-5,Abscess,0.2160555065787626
genus,Johnsonella,25,25,25,3.1411963284422735e-10,4.4543420442688507e-10,1.9519151275819744e-4,0.001705517453726495,0.06729929952386755,-1.3131457158265772e-10,-0.0015103259409682977,Abscess,0.10057917291479107
genus,Kingella,25,25,25,0.006989014590900993,1.5817196855128804e-8,0.012658211573129765,0.0029561689833325186,0.0014982845247894579,0.006988998773704138,0.009702042589797247,Plaque,0.013584446358091085
genus,Klebsiella,25,25,25,1.408996301180815e-10,2.1210029147879906e-10,3.498368665818679e-10,0.003574178300456898,0.02381004514554109,-7.120066136071755e-11,-0.0035741779506200315,Abscess,0.06349345372144291
genus,Kocuria,25,25,25,3.522490752952038e-11,5.3025072869699766e-11,8.745921664546697e-11,3.4285830523669756e-5,0.043589346935158674,-1.7800165340179388e-11,-3.428574306445311e-5,Abscess,0.08120755045454219
genus,Lachnoanaerobaculum,25,25,25,0.0048602688120866116,9.06115636524924e-9,0.007511280542366237,0.003247685719118171,0.013307365386794041,0.004860259750930246,0.004263594823248066,Plaque,0.040217815391199764
genus,Lachnospiraceae G-2,25,25,25,2.833204838515236e-10,3.4276755584719984e-10,1.9545718358532577e-4,2.333186345095825e-5,0.9142910652076613,-5.944707199567623e-11,1.7212532013436752e-4,Abscess,0.9210635916166069
genus,Lachnospiraceae G-3,25,25,25,8.934253095032557e-9,8.322928264544746e-10,0.0020535872933804956,8.477163324665407e-4,0.3602782576952348,8.101960268578083e-9,0.001205870960913955,Plaque,0.3983564475329426
genus,Lachnospiraceae G-7,25,25,25,7.044981505904076e-11,1.144426456076591e-10,1.7491843329093394e-10,1.9725570633447262e-4,0.0018011458336810678,-4.399283054861834e-11,-1.9725553141603934e-4,Abscess,0.014409166669448543
genus,Lachnospiraceae G-8,25,25,25,1.408996301180815e-10,2.1210029147879906e-10,3.498368665818679e-10,2.477352868604687e-4,0.013307365386794041,-7.120066136071755e-11,-2.4773493702360215e-4,Abscess,0.040217815391199764
genus,Lacticaseibacillus,25,25,25,4.047435483593195e-10,1.1362341517651745e-9,1.448888291222699e-4,0.01657245940641164,0.03583990438424873,-7.31490603405855e-10,-0.01642757057728937,Abscess,0.0799053605943906
genus,Lactobacillus,25,25,25,4.3814804857399866e-10,1.3634809821182095e-9,7.31319601240099e-5,0.011589923632354941,0.001130987310209616,-9.253329335442108e-10,-0.01151679167223093,Abscess,0.010986733870607697
genus,Lancefieldella,25,25,25,7.916180558523452e-10,0.0017562263581980832,7.595661684442541e-4,0.0100563054997938,2.807613924458238e-4,-0.0017562255665800274,-0.009296739331349545,Abscess,0.007636709874526407
genus,Lautropia,25,25,25,0.023558793980175952,2.401870633556596e-8,0.04451938929926129,0.012009681839526151,0.00018397579608998401,0.023558769961469616,0.03250970745973514,Plaque,0.006255177067059457
genus,Lawsonella,25,25,25,3.522490752952038e-11,5.3025072869699766e-11,8.745921664546697e-11,1.1634744409463286e-4,0.04086222382142676,-1.7800165340179388e-11,-1.1634735663541622e-4,Abscess,0.08120755045454219
genus,Lentilactobacillus,25,25,25,7.044981505904076e-11,1.0649058608418955e-10,1.7491843329093394e-10,2.177525814282217e-4,0.02553090234439121,-3.6040771025148796e-11,-2.177524065097884e-4,Abscess,0.06677312920840778
genus,Leptotrichia,25,25,25,0.059193613066990655,0.006101431365040613,0.06612830410511136,0.025305227632410898,8.485353611475582e-4,0.05309218170195004,0.04082307647270046,Plaque,0.010490982646915266
genus,Ligilactobacillus,25,25,25,3.522490752952038e-11,4.8966793692457115e-11,8.745921664546697e-11,1.455086255492049e-4,0.05963483009045978,-1.3741886162936737e-11,-1.4550853808998823e-4,Abscess,0.09112738081238797
genus,Limosilactobacillus,25,25,25,5.261666128671154e-10,7.728433388505835e-10,5.899143360400575e-4,0.0023533242448346542,0.05963483009045978,-2.4667672598346813e-10,-0.0017634099087945967,Abscess,0.09112738081238797
genus,Listeria,25,25,25,3.522490752952038e-11,4.8966793692457115e-11,8.745921664546697e-11,4.259635320343159e-5,0.05963483009045978,-1.3741886162936737e-11,-4.259626574421494e-5,Abscess,0.09112738081238797
