Taxon,pval,FDR
g__Prevotella_s__jejuni,0.23889536967025596,0.3395233228111033
g__Prevotella_s__shahii,0.23889536967025596,0.3395233228111033
g__Selenomonas_s__dianae,0.23889536967025596,0.3395233228111033
g__Fusobacterium_s__sp._HMT_204,0.23889536967025596,0.3395233228111033
g__Selenomonas_s__sp._HMT_937,0.23889536967025596,0.3395233228111033
g__Haemophilus_s__haemolyticus,0.24674784235645258,0.33975871128209356
g__Olsenella_s__sp._HMT_807,0.24674784235645258,0.33975871128209356
g__Prevotella_s__marshii,0.24674784235645258,0.33975871128209356
g__Selenomonas_s__sp._HMT_133,0.24674784235645258,0.33975871128209356
g__Capnocytophaga_s__sp._HMT_901,0.24674784235645258,0.33975871128209356
g__Leptotrichia_s__sp._HMT_463,0.24674784235645258,0.33975871128209356
g__Leptotrichia_s__sp._HMT_217,0.24674784235645258,0.33975871128209356
g__Janibacter_s__indicus,0.24674784235645258,0.33975871128209356
g__Selenomonas_s__sp._HMT_920,0.24674784235645258,0.33975871128209356
g__Kingella_s__sp._HMT_932,0.24674784235645258,0.33975871128209356
g__Streptococcus_s__pneumoniae,0.2547760072736404,0.3497235876240654
g__Lancefieldella_s__parvula,0.26298067382491375,0.3587575858969502
g__Selenomonas_s__artemidis,0.26298067382491375,0.3587575858969502
g__Saccharibacteria_(TM7)_[G-1]_s__bacterium_HMT_349,0.27992218093332694,0.38069416606932466
g__Prevotella_s__nanceiensis,0.28866006349504,0.3889870367829502
g__Neisseria_s__oralis,0.28866006349504,0.3889870367829502
g__Schaalia_s__sp._HMT_172,0.28866006349504,0.3889870367829502
g__Neisseria_s__perflava,0.2975765259571755,0.39617115805142034
g__Saccharibacteria_(TM7)_[G-1]_s__bacterium_HMT_869,0.2975765259571755,0.39617115805142034
g__Capnocytophaga_s__sp._HMT_878,0.2975765259571755,0.39617115805142034
g__Aggregatibacter_s__sp._HMT_949,0.2975765259571755,0.39617115805142034
g__Peptidiphaga_s__sp._HMT_183,0.3066717836891773,0.40341942973397726
g__Porphyromonas_s__sp._HMT_284,0.3066717836891773,0.40341942973397726
g__Prevotella_s__sp._HMT_942,0.3066717836891773,0.40341942973397726
g__Lachnospiraceae_[G-3]_s__bacterium_HMT_100,0.3066717836891773,0.40341942973397726
g__Rothia_s__mucilaginosa,0.3159459254811898,0.41194129517016487
g__Absconditabacteria_(SR1)_[G-1]_s__bacterium_HMT_874,0.3159459254811898,0.41194129517016487
g__Streptococcus_s__sp._HMT_074,0.3159459254811898,0.41194129517016487
g__Streptococcus_s__intermedius,0.32539891041175756,0.4193187125422648
g__Prevotella_s__sp._HMT_306,0.32539891041175756,0.4193187125422648
g__Selenomonas_s__sp._HMT_138,0.32539891041175756,0.4193187125422648
g__Aggregatibacter_s__sp._HMT_898,0.32539891041175756,0.4193187125422648
g__Aggregatibacter_s__aphrophilus,0.34484058657034955,0.4417957659828826
g__Limosilactobacillus_s__oris,0.34484058657034955,0.4417957659828826
g__Saccharibacteria_(TM7)_[G-6]_s__bacterium_HMT_870,0.3548285295671718,0.44809774305339983
g__Selenomonas_s__sp._HMT_136,0.3548285295671718,0.44809774305339983
g__Prevotella_s__micans,0.3548285295671718,0.44809774305339983
g__Absconditabacteria_(SR1)_[G-1]_s__bacterium_HMT_345,0.3548285295671718,0.44809774305339983
g__Corynebacterium_s__aurimucosum,0.3548285295671718,0.44809774305339983
g__Pseudoleptotrichia_s__sp._HMT_219,0.36499381541788695,0.45962184163733916
g__Streptococcus_s__salivarius,0.37533572535171644,0.46600671518387266
g__Peptostreptococcaceae_[G-1]_s__[Eubacterium]_sulci,0.37533572535171644,0.46600671518387266
g__Neisseria_s__sp._HMT_499,0.37533572535171644,0.46600671518387266
g__Capnocytophaga_s__sp._HMT_863,0.37533572535171644,0.46600671518387266
g__Corynebacterium_s__striatum,0.37533572535171644,0.46600671518387266
g__Streptococcus_s__gordonii,0.38585339949413666,0.476388834012314
g__Mogibacterium_s__vescum,0.38585339949413666,0.476388834012314
g__Prevotella_s__sp._HMT_472,0.3965458361855118,0.4868701655388784
g__Prevotella_s__oulorum,0.3965458361855118,0.4868701655388784
g__Centipeda_s__periodontii,0.40741189021442265,0.4947144381175132
g__Actinomyces_s__sp._HMT_897,0.40741189021442265,0.4947144381175132
g__Actinomyces_s__sp._HMT_896,0.40741189021442265,0.4947144381175132
g__Haemophilus_s__aegyptius,0.40741189021442265,0.4947144381175132
g__Prevotella_s__saccharolytica,0.4184502725082147,0.5039646333750161
g__Prevotella_s__sp._HMT_300,0.4184502725082147,0.5039646333750161
g__Weeksellaceae_[G-1]_s__sp._HMT_900,0.4184502725082147,0.5039646333750161
g__Haemophilus_s__paraphrohaemolyticus,0.42965954874080486,0.5160584797375971
